#,Age,Education Level,Occupation,Which UI seems to be from the same application as the UI shown,Which UI seems to be from the same application as the UI shown,Which UI seems to be from the same application as the UI shown,Which UI seems to be from the same application as the UI shown,Which UI seems to be from the same application as the UI shown,choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,"Which UI do you expect to navigate to when interacting with  ""Settings?""","Which UI do you expect to navigate to when interacting with ""OLLIE?""","Which UI do you expect to navigate to when interacting with ""Retirement?""","Which UI do you expect to navigate to when interacting with ""the + icon?""","Which UI do you expect to navigate to when interacting with ""WOMEN""?",Which UI would you expect to navigate to next?,Which UI would you expect to navigate to next?,Which UI would you expect to navigate to next?,Which UI would you expect to navigate to next?,Which UI would you expect to navigate to next?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
jtkv8lg5k5mx5x06jtkv8sc5p2ty1oo9,25-34,Bachelor's Degree,Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,,completed,2024-03-13 13:37:36,,2024-03-13 13:44:19,614aa32d9e,
ru5ycrw8jdrvrcugpru5yqvygh6del6o,18-24,Bachelor's Degree,Field Service Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,,,choice 8,,,,,,choice 4,choice 5,choice 6,,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 16:55:04,,2024-03-12 17:00:43,287e2449cc,
bvprfx9tu0lrhibby48bvprfx9gfffa7,55+,Bachelor's Degree,RN,choice 4,choice 4,choice 1,choice 3,choice 1,,,,,choice 5,choice 6,,choice 8,,,,,,choice 4,choice 5,choice 6,,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 3,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 16:21:33,,2024-03-12 16:49:28,6b566e1dc8,
v7iwqe1hyyaxj05v7tu680j778nbe47o,55+,Bachelor's Degree,Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,,,,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 16:19:39,,2024-03-12 16:49:33,6b566e1dc8,
9vrm88y7ehsdo0yapf9vru277ctkghw2,18-24,Bachelor's Degree,SWE,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,,choice 7,choice 8,,,choice 4,choice 1,choice 4,choice 1,choice 2,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 13:46:16,,2024-03-12 13:52:20,bff99b09af,
uz1anj2fco03xenapdhduz1anj2z5vml,25-34,Bachelor's Degree,Software Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 12:14:02,,2024-03-12 12:21:46,07a94012c9,
n81jwphle6u7fw6pww6dn81jwphvd3at,,Bachelor's Degree,Software Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,,choice 5,choice 6,,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 3,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 11:59:30,,2024-03-12 12:07:54,d13db6a590,
m60egqjiobisotf9z6m60egxkjsvgcui,18-24,Bachelor's Degree,Engineer,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 3,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 03:35:12,,2024-03-12 03:40:19,287e2449cc,
vc6ei0rc0x7mfbyarrlvc6ee5v55ihkt,25-34,Bachelor's Degree,Data Manager,choice 4,choice 4,choice 1,choice 3,choice 1,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 1,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,choice 5,choice 6,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 2,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 01:36:31,,2024-03-12 01:44:45,60352c954d,
i75a8sy2lqgi75or3g14hpgicuurmajt,25-34,High School or GED,Data analyst,choice 4,choice 4,choice 1,choice 3,choice 1,,,,,choice 5,choice 6,,,,,,,,choice 4,choice 5,choice 6,choice 7,,,,,,,,choice 5,,choice 7,,,,,,choice 3,,,,choice 7,choice 8,choice 9,,,,,,,,choice 7,choice 8,,,choice 4,choice 1,choice 2,choice 1,choice 3,choice 1,choice 2,choice 4,choice 4,choice 1,completed,2024-03-12 01:23:18,,2024-03-12 01:32:43,2ec23e39d6,
